brand_name,brand_id,rights_owner,complaint_email,rights_type,rights_name,rights_id,category,risk_level
Anima,SC_B_4402,TRAVAINI MATTIA,,,,,FUN,S
Apple,SC_B_1527,111111,shusddwq@163.com,商标,222222,11111,3C,S
Aquaracer,SC_B_326,LVMH SWISS MANUFACTURES SA,,,,,LUXURY,S
Aquarius,SC_B_2894,The Coca-Cola Company,,,,,FUN,S
Ariel,SC_B_1304,The Procter &amp; Gamble Company,pg_enforce@opsecsecurity.com,商标,ARIEL,75409,FUN,S
Armani,SC_B_129,GIORGIO AMARNI S.P.A,,,,,LUXURY,S
Arnette,SC_B_332,LUXOTTICA GROUP S.P.A.,,,,,LUXURY,S
Arsenal,SC_B_131,THE ARSENAL FOOTBALL CLUB PUBLIC LIMITED COMPANY,,,,,FUN,S
asics,SC_B_132,ASICS CORPORATION,,,,,FUN,S
ASTI,SC_B_336,Mipaaf,icqrf.capodipartimento@politicheagricole.it,商标,Asti,PDO-IT-A1396,FUN,S
Asturie,SC_B_337,ULTIMATE FISHING,,,,,FUN,A
Atelier Cologne,SC_B_338,莱雅公司 L＇OREAL SOCIETS ANONYME,loreal@sipi.sg,商标,Atelier Cologne,13667995,LUXURY,S
Atmos,SC_B_3516,"Atmos Nation, LLC",,,,,FUN,S
AUDEMARS PIGUET,SC_B_1294,Audemars Piguet Holding S.A.,yves.brouze@fhs.swiss,商标,AP,1192359,LUXURY,S
Aultmore,SC_B_2865,Bacardi & Company Limited,,,,,FUN,S
Aussie,SC_B_341,The Procter and Gamble Company,pg_enforce@opsecsecurity.com,商标,AUSSIE Word,846164,FUN,S
Aveda,SC_B_342,Aveda Corporation,elcipr@163.com,商标,Aveda,6256386,LUXURY,S
Axe,SC_B_1319,UNILEVER N.V.,,,,,FUN,S
Ayataka,SC_B_2895,The Coca-Cola Company,,,,,FUN,S
Baby Shark,SC_B_2522,"Smart Study Co., Ltd.",,,,,FUN,A
Babyzen,SC_B_2261,BARDINET S.A.S.,,,,,FUN,S
Bacardi,SC_B_2866,Bacardi & Company Limited,,,,,FUN,S
Baci Perugina,SC_B_3080,Societe des Produits Nestle S.A.,,,,,FUN,S
Baileys,SC_B_2937,R & A Bailey & Co Unlimited Company,,,,,LUXURY,S
Baja Designs,SC_B_3007,Baja Designs Incorporated,legal@bajadesigns.com,商标,BajaDesigns,4608807,3C,S
Balenciaga,SC_B_351,BALENCIAGA,balen_snbreact@sina.com,商标,BALENCIAGA,598321,LUXURY,S
Ballantine's,SC_B_352,ALLIED DOMECQ SPIRITS & WINE LIMITED,,,,,LUXURY,S
Barbaresco,SC_B_353,MIPAAF,,,,,FUN,S
Barbie,SC_B_1676,"MATTEL, INC.",,,,,FUN,S
Bardinet,SC_B_2263,BARDINET S.A.S.,,,,,FUN,S
Bardolino Superiore,SC_B_359,Mipaaf,,,,,FUN,S
Barilla,SC_B_2888,Barilla G.e R. Fratelli - Società per Azioni,,,,,FUN,S
Barolo,SC_B_360,MIPAAF - CONSORZIO DI TUTELA BAROLO BARBARESCO ALBA LANGHE E DOGLIANI,,,,,FUN,S
Barq's,SC_B_2896,The Coca-Cola Company,,,,,FUN,S
barrisol,SC_B_2264,NORMALU SAS,,,,,FUN,S
BASF,SC_B_2965,BASF SE,,,,,FUN,S
Baume,SC_B_361,RICHEMONT INTERNATIONAL SA,,,,,LUXURY,S
Baume & Mercier,SC_B_362,Richemont International S.A.,,,,,LUXURY,A
bayer,SC_B_2830,Bayer Aktiengesellschaft,,,,,FUN,S
BBS,SC_B_3443,BBS日本株式会社,brandprotection@ip-fw.com,商标,BBS,951245,LUXURY,S
Beats,SC_B_3514,"Beats Electronics, LLC",ebox32@apple.com,商标,Beats,7603108,3C,S
BEAUTE PRESTIGE INTERNATIONAL,SC_B_2267,BEAUTE PRESTIGE INTERNATIONAL,,,,,LUXURY,S
Beck's,SC_B_2814,BRAUEREI BECK GMBH & CO.KG\t,,,,,FUN,S
Beifa,SC_B_3171,贝发集团股份有限公司,,,,,FUN,A
Berluti,SC_B_367,BERLUTI,lv_weiquan@126.com,商标,BERLUTI 25类,G607983,LUXURY,S
Bernardaud,SC_B_2269,BERNARDAUD,,,,,LUXURY,S
Betty Boop,SC_B_2994,"Fleischer Studios, Inc.",,,,,FUN,A
Beurer,SC_B_2972,Beurer GmbH,,,,,3C,S
BFGoodrich,SC_B_370,米其林集团总公司,dubinbin@wanhuida.com,商标,BFGOODRICH,17635542,FUN,S
BIC,SC_B_2272,SOCIETE BIC,,,,,FUN,S
Big Babol,SC_B_3248,PERFETTI VAN MELLE S.P.A.,,,,,FUN,S
Bionicle,SC_B_1348,LEGO JURIS A/S,,,,,FUN,S
Biotherm,SC_B_1349,BIOTHERM,,,,,LUXURY,S
Blancpain,SC_B_5317,"Blancpain SA, (Blancpain AG), (Blancpain Ltd)",,,,,LUXURY,A
Blokus,SC_B_383,SEKKOIA,,,,,FUN,S
BMW,SC_B_153,Bayerische Motoren Werke Aktiengesellschaft,,,,,3C,S
Bobbi Brown,SC_B_386,Bobbi Brown Cosmetics Professional Inc.,,,,,LUXURY,S
Bollinger,SC_B_2276,SOCIETE BOLLINGER & CO,,,,,LUXURY,S
Bombay Sapphire,SC_B_2867,Bacardi & Company LimitedBacardi & Company Limited,,,,,FUN,S
Bonafont,SC_B_2924,"BONAFONT, S.A. DE C.V.",,,,,FUN,S
BorgWarner,SC_B_2278,BORGWARNER INC.,,,,,3C,S
Bosch,SC_B_177,Robert Bosch GmbH,,,,,3C,S
Bose,SC_B_3008,Bose Products B.V.,,,,,3C,S
Bottega Veneta,SC_B_391,KERING HOLLAND N.V.,,,,,LUXURY,S
Boucheron,SC_B_392,BOUCHERON HOLDING,,,,,LUXURY,S
Bounty,SC_B_3184,"Mars, Incorporated",,,,,FUN,S
Bourjois,SC_B_3018,BOURJOIS,,,,,LUXURY,S
Bournvita,SC_B_3206,CADBURY UK LIMITED,,,,,FUN,S
Brachetto d'Acqui,SC_B_1368,Mipaaf,,,,,FUN,S
Branca,SC_B_2973,Fratelli Branca Distillerie S.p.A.,,,,,FUN,S
Braun,SC_B_1450,Braun GmbH,pg_enforce@opsecsecurity.com,商标,Braun,11161119,3C,S
Breezer,SC_B_2868,Bacardi & Company Limited,,,,,FUN,S
Breguet,SC_B_396,MONTRES BREGUET S.A.,,,,,LUXURY,S
Breitling,SC_B_1821,BREITLING SA,,,,,LUXURY,S
Brembo,SC_B_3009,Freni Brembo S.P.A.,,,,,LUXURY,S
Bresaola della Valtellina,SC_B_398,Mipaaf,,,,,FUN,S
Brioni,SC_B_2418,BRIONI S.P.A.,,,,,LUXURY,S
Bristol-Myers Squibb,SC_B_2952,Bristol-Myers Squibb Company,,,,,FUN,S
British American Tobacco,SC_B_2279,BRITISH AMERICAN TOBACCO,,,,,FUN,S
Brunello di Montalcino,SC_B_1375,Mipaaf,,,,,FUN,S
Bubble,SC_B_5460,"Bubble Beauty, Inc.",enforcement@bubblebeauty-enforcement.com,商标,BUBBLE SKINCARE,7043262,LUXURY,S
Buccellati,SC_B_402,BUCCELLATI HOLDING ITALIA S.P.A.,brand-enforcement@incopro.co.uk,商标,Buccellati,G526439,LUXURY,S
Budweiser,SC_B_2840,"ANHEUSER-BUSCH, LLC",,,,,FUN,S
Buffalo Trace,SC_B_5262,"Sazerac Brands, LLC",,,,,FUN,A
Buick,SC_B_3047,General Motors LLC,,,,,FUN,S
Bulgari,SC_B_1479,BULGARI S.P.A.,bvgr.reporting@marqvision.com,商标,BULGARI,15659742,LUXURY,S
Bulleit,SC_B_2941,"Diageo North America, Inc.",,,,,FUN,S
Burberry,SC_B_2280,BURBERRY LIMITED,,,,,LUXURY,S
Butterfly,SC_B_1719,TAMASU BUTTERFLY,,,,,FUN,A
Bvlgari,SC_B_406,BULGARI S.P. A.,bvlgari@opsecsecurity.de,商标,BVLGARI,334038,LUXURY,S
Calvin Klein,SC_B_3518,CALVIN KLEIN TRADEMARK TRUST,,,,,LUXURY,S
Canal,SC_B_1815,GROUPE CANAL,,,,,FUN,S
Canon,SC_B_2283,CANON KABUSHIKI KAISHA,,,,,3C,S
Capri Sun,SC_B_3231,Capri Sun GmbH,,,,,FUN,S
Captain Morgan,SC_B_2939,"Diageo North America, Inc.",,,,,FUN,S
Caravan,SC_B_421,LUXOTTICA GROUP S.P.A.,,,,,LUXURY,S
Cartelo,SC_B_3366,卡帝乐鳄鱼私人有限公司,,,,,LUXURY,S
Cartier,SC_B_1670,Cartier International AG,brand-enforcement@incopro.co.uk,商标,CARTIER,202368,LUXURY,S
Catsan,SC_B_3135,"Mars, Incorporated",,,,,FUN,S
Cazadores,SC_B_2874,Bacardi & Company Limited,,,,,FUN,S
Celebrations,SC_B_3185,"Mars, Incorporated",,,,,FUN,S
Celine,SC_B_1406,CELINE,,,,,LUXURY,S
Center Fruit,SC_B_3264,Perfetti Van Melle S.p.A.,,,,,FUN,S
Cerasuolo d'Abruzzo,SC_B_1407,Mipaaf,,,,,FUN,S
CeraVe,SC_B_1408,L'OREAL SOCIETE ANONYME,,,,,LUXURY,S
Cerelac,SC_B_3082,Societe des Produits Nestle S.A.,,,,,FUN,S
Chandon,SC_B_2289,MHCS,,,,,LUXURY,S
Chanel,SC_B_1411,CHANEL,chanel@lionipr.com,商标,CHANEL,75977,LUXURY,S
Chateau d'Yquem,SC_B_2300,CHATEAU D’YQUEM,,,,,LUXURY,S
Chaumet,SC_B_2302,CHAUMET INTERNATIONAL S.A.,,,,,LUXURY,S
Cheerios,SC_B_3084,Societe des Produits Nestle S.A.,,,,,FUN,S
Cheetos,SC_B_3052,"PEPSICO, INC.",,,,,FUN,S
Cheez-It,SC_B_3226,Kellogg Company,,,,,FUN,S
Chelsea,SC_B_5472,CHELSEA FOOTBALL CLUB LIMITED,,,,,FUN,S
Chemours,SC_B_1416,THE CHEMOURS COMPANY,chemours.enforcement@incoproip.com,商标,Chemours,5163745,FUN,S
Chianti Classico,SC_B_1417,Mipaaf - Consorzio Vino Chianti Classico,,,,,FUN,S
Chivas,SC_B_1418,CHIVAS HOLDINGS (IP) LIMITED,,,,,LUXURY,S
Chivas Regal,SC_B_1419,CHIVAS HOLDINGS (IP) LIMITED,pernodricard@sipi.sg,商标,Chivas Regal,1308150,LUXURY,S
Chloé,SC_B_1420,蔻依有限公司 CHLOE S.A.S,brand-enforcement@incopro.co.uk,商标,CHLOE,6792157,LUXURY,S
Chocomel,SC_B_3073,FrieslandCampina Nederland B.V.,,,,,FUN,S
Chopard,SC_B_1421,肖邦国际有限公司 CHOPARD INTERNATIONAL SA,chopard.ipr@bp.corsearch.com,商标,萧邦 CHOPARD,37167744,LUXURY,S
Christian Louboutin,SC_B_2303,CHRISTIAN LOUBOUTIN,,,,,LUXURY,S
Christofle,SC_B_2363,ORFEVRERIE CHRISTOFLE,,,,,LUXURY,S
chromasis,SC_B_4399,TRAVAINI MATTIA,,,,,FUN,S
Chupa Chups,SC_B_3245,Perfetti Van Melle Benelux BV,,,,,FUN,S
Cinderella,SC_B_1427,"DISNEY ENTERPRISES,INC.",,,,,FUN,S
Clarins,SC_B_2304,CLARINS,,,,,LUXURY,S
clarisonic,SC_B_1429,L'OREAL SOCIETE ANONYME,,,,,LUXURY,S
Clinique,SC_B_1432,"CLINIQUE LABORATORIES, LLC",,,,,LUXURY,S
Club Social,SC_B_3209,INTERCONTINENTAL GREAT BRANDS LLC,,,,,FUN,S
Coach,SC_B_2524,COACH IP Holdings LLC,takedown_coach@pointerbp.nl,商标,COACH wordmark,010325348,LUXURY,S
Coca-Cola,SC_B_2773,The Coca-Cola Company,,,,,FUN,S
Coffee Mate,SC_B_3085,Societe des Produits Nestle S.A.,,,,,FUN,S
Cognac,SC_B_2274,BUREAU NATIONAL INTERPROFESSIONNEL DU COGNAC,,,,,LUXURY,S
Cohiba,SC_B_3892,"EMPRESA CUBANA DEL TABACO, also trading as CUBATABACO, an enterprise of the Government of the Republic of Cuba",,,,,FUN,S
Coil Master,SC_B_3167,深圳市好尔康科技有限公司,jerry@hekvapor.com,商标,COIL MASTER,16684099,3C,A
Colgate,SC_B_1440,Colgate,marketsafe@iacc.org,商标,Colgate,1188128,FUN,S
Collio Goriziano,SC_B_1441,Mipaaf,icqrf.capodipartimento@politicheagricole.it,商标,Collio Goriziano / Collio PDO,PDO-IT-A0908,FUN,S
Color Kinetics,SC_B_3138,SIGNIFY HOLDING B.V.,,,,,3C,S
Comite Colbert,SC_B_2306,COMITE COLBERT,,,,,LUXURY,S
Converse,SC_B_1448,ALL STAR C.V.,,,,,FUN,S
Copa Mundial,SC_B_3812,FEDERATION INTERNATIONALE DE FOOTBALL ASSOCIATION (FIFA),,,,,FUN,S
Copenhagen,SC_B_1451,U.S. SMOKELESS TOBACCO COMPANY LLC,,,,,FUN,S
Corona,SC_B_2852,CERVECERIA MODELO DE MEXICO，S.DE R.L.DE C.V.,,,,,FUN,S
Corteva,SC_B_2966,Corteva Agriscience LLC,,,,,FUN,S
Corzo,SC_B_2875,Bacardi & Company Limited,,,,,FUN,S
Costa,SC_B_1453,Costa Limited,,,,,FUN,A
Coty,SC_B_3094,Coty Brands Management Inc.,,,,,LUXURY,S
Cracker Jack,SC_B_3053,"PEPSICO, INC.",,,,,FUN,S
Crest,SC_B_1457,The Procter &amp; Gamble Company,pg_enforce@opsecsecurity.com,商标,CREST,826181,FUN,S
Crocs,SC_B_1459,"Crocs, Inc.",crocs.ipr@ybrandprotection.com,商标,CROCS,873725,FUN,S
Crompton,SC_B_1460,Crompton Greaves Consumer Electricals Limited,,,,,3C,A
Cîroc,SC_B_2940,Diageo Brands B.V.,,,,,FUN,S
D'USSÉ,SC_B_2876,Bacardi & Company Limited,,,,,FUN,S
Daim,SC_B_3210,KRAFT FOODS SVERIGE INTELLECTUAL PROPERTY AB,,,,,FUN,S
Danone,SC_B_2309,COMPAGNIE GERVAIS DANONE,,,,,FUN,S
Dardashti,SC_B_4104,"Dardashti, Shahram",,,,,FUN,A
Dasani,SC_B_2898,The Coca-Cola Company,,,,,FUN,S
David Beckham,SC_B_3038,"Beckham, David",,,,,LUXURY,S
Davidoff,SC_B_3040,Zino Davidoff S.A.,,,,,LUXURY,S
DAZN,SC_B_2958,DAZN Limited,,,,,FUN,S
Decleor,SC_B_1472,L'OREAL SOCIETE ANONYME,,,,,LUXURY,S
DeLeon,SC_B_2945,DELEON HOLDCO LLC,,,,,FUN,S
Delphi,SC_B_2310,Delphi Technologies IP Limited,delphi.ipr@bp.corsearch.com,商标,Delphi Technologies,017886548,3C,S
Delune,SC_B_3520,"Henan Xinchi International Trading Co.,Ltd.",,,,,FUN,S
Delvaux,SC_B_1474,Delvaux Design Corporation Coordination & Finance,,,,,LUXURY,A
demose,SC_B_3174,鲁祥凤,1647274729@qq.com,商标,狄姆斯 DEMOSE,14518942,FUN,A
Dermalogica,SC_B_1475,UNILEVER IP HOLDINGS B.V.,unilever.enforcement@incoproip.com,商标,DERMALOGICA,20855579,FUN,S
Desperados,SC_B_1477,HEINEKEN BROUWERIJEN B.V.,,,,,FUN,S
Devialet,SC_B_2311,DEVIALET,,,,,3C,S
Diageo,SC_B_2932,DIAGEO PLC,,,,,LUXURY,S
Diane von Furstenberg,SC_B_3011,"DVF Studio, LLC",,,,,LUXURY,S
diesel,SC_B_3021,Diesel S.p.A.,,,,,LUXURY,S
Dior,SC_B_1480,CHRISTIAN DIOR COUTURE,cdccops@sipi.in,商标,DIOR,G610601,LUXURY,S
Disney,SC_B_1276,"DISNEY ENTERPRISES,INC.",,,,,FUN,S
DJI,SC_B_1486,"SZ DJI TECHNOLOGY CO., LTD",,,,,3C,A
Dodge,SC_B_3048,FCA US LLC,,,,,3C,S
Dogadan,SC_B_2901,Dogadan Gida Ürünleri Sanayi ve Pazarlama A.S.,,,,,FUN,S
Dolcetto d'Alba,SC_B_1501,Mipaaf,,,,,FUN,S
Dom Perignon,SC_B_2287,MHCS,,,,,FUN,S
Don Julio,SC_B_2833,"Diageo México Comercializadora, S.A. de C.V",,,,,FUN,S
Doritos,SC_B_3054,"PEPSICO, INC.",,,,,FUN,S
Dove,SC_B_1508,Unilever IP Holdings B.V.,unilever.enforcement@incoproip.com,商标,Dove,4406333,FUN,S
Downy,SC_B_1509,THE PROCTER & GAMBLE COMPANY,pg_enforce@opsecsecurity.com,商标,Downy,6527,FUN,S
Dr. Martens,SC_B_4354,"\""DR. MARTENS\"" INTERNATIONAL TRADING GMBH Y \""DR. MAERTENS\"" MARKETING GMBH",,,,,LUXURY,A
DSW,SC_B_1515,VITRA PATENTE AG,,,,,FUN,A
DTTM,SC_B_5291,DTTM OPERATIONS LLC,,,,,3C,S
Dumbo,SC_B_1516,"DISNEY ENTERPRISES,INC.",,,,,FUN,S
dunhill,SC_B_1517,ALFRED DUNHILL LIMITED,,,,,LUXURY,S
Duracell,SC_B_1521,"DURACELL U.S. OPERATIONS, INC",duracell.ipr@corsearch.com,商标,DURACELL,155670,3C,S
Dutch Lady,SC_B_3074,FrieslandCampina Nederland B.V.,,,,,FUN,S
DVF,SC_B_3012,"DVF Studio, LLC",,,,,LUXURY,S
Dynamo,SC_B_1523,The Procter and Gamble Company,pg_enforce@opsecsecurity.com,商标,Dynamo,342711,FUN,S
dyson,SC_B_1524,DYSON TECHNOLOGY LIMITED,dyson.enforcement@incoproip.com,商标,AIRSTRAIT,70734996,3C,S
Eames,SC_B_1526,Vitra Collections AG,,,,,LUXURY,S
Eberhard,SC_B_2989,EBERHARD ET CO. S.A.,,,,,LUXURY,S
Eclipse,SC_B_3186,Wm. Wrigley Jr. Company,,,,,FUN,S
Ecoalf,SC_B_3041,ECOALF RECYCLED FABRICS. S.L.,,,,,FUN,S
Eden Park,SC_B_2312,CINQ HUITIEMES,,,,,LUXURY,S
Eiffel,SC_B_4853,Vitra Collections AG,,,,,LUXURY,S
Elide Fire,SC_B_3521,"Elide Fire Ball Pro Co., Ltd",,,,,FUN,S
EltaMD,SC_B_1532,"CP SKIN HEALTH GROUP, INC.",,,,,FUN,S
Embryolisse,SC_B_2342,GROUPEMENT DES LABORATOIRES FRANCAIS/SORAS,,,,,FUN,S
Emeco,SC_B_2993,emeco,marketsafe@iacc.org,商标,Emeco International TM,001640440,FUN,S
Emery Rose,SC_B_3987,ROADGET BUSINESS PTE. LTD,,,,,FUN,S
EMES,SC_B_4103,EMES ENDUSTRIYEL MAKINA EKIPMANLARI SANAYI VE TICARET ANONIM SIRKETI,,,,,FUN,A
Emilia,SC_B_1533,Mipaaf - Consorzio Tutela Vini Emilia,,,,,FUN,S
Emilio Pucci,SC_B_2956,EMILIO PUCCI S.R.L.,,,,,LUXURY,S
Enchantimals,SC_B_1536,MATTEL INC.,,,,,FUN,S
ENGIE,SC_B_2313,ENGIE,,,,,FUN,S
Epson,SC_B_1531,精工爱普生株式会社,epsonweiquan@163.com,商标,ELPLP,10106447,3C,S
Erika,SC_B_1540,LUXOTTICA GROUP S.P.A.,,,,,LUXURY,S
Espazzola,SC_B_5488,Alexander Senger,,,,,FUN,S
ESS,SC_B_1542,"EYE SAFETY SYSTEMS, INC.,Eye Safety Systems, Inc.",,,,,FUN,S
Essilor,SC_B_2314,ESSILOR INTERNATIONAL,,,,,LUXURY,S
Estee Lauder,SC_B_1543,ESTEE LAUDER COSMETICS LTD.,,,,,LUXURY,S
Eukanuba,SC_B_3148,"MARS, INCORPORATED",,,,,FUN,S
evian,SC_B_2925,SOCIETE ANONYME DES EAUX MINERALES D'EVIAN,,,,,FUN,S
Evoca,SC_B_4396,TRAVAINI MATTIA,,,,,FUN,S
Extra,SC_B_3194,Wm. Wrigley Jr. Company,,,,,FUN,S
FAG,SC_B_2936,Schaeffler Technologies AG & Co. KG,,,,,FUN,S
Fairy,SC_B_1552,The Procter &amp; Gamble Compnay,pg_enforce@opsecsecurity.com,商标,FAIRY,75401,FUN,S
Fancy Feast,SC_B_3088,Societe des Produits Nestle S.A.,,,,,FUN,S
Fanta,SC_B_2902,The Coca-Cola Company,,,,,FUN,S
FC Barcelona,SC_B_5230,FUTBOL CLUB BARCELONA,legal@entorno.es,商标,FC Barcelona,018699504,FUN,S
FC Bayern München,SC_B_5470,FC Bayern München AG,,,,,FUN,S
Febreze,SC_B_1556,THF PROCTER & GAMBLE COMPANY,pg_enforce@opsecsecurity.com,商标,FEBREZE,17026086,FUN,S
Fendi,SC_B_1557,FENDI S.R.L,fendi@obp.authentix.com,商标,FENDACE-wipo,1639669,LUXURY,S
Ferragamo,SC_B_3027,FERRAGAMO SALVATORE ITALIAS.P.A.,,,,,LUXURY,S
Ferrero,SC_B_3069,FERRERO S.P.A.,,,,,LUXURY,S
Ferring,SC_B_2316,FERRING B.V.,,,,,FUN,S
FIFA,SC_B_1563,Fédération Internationale de Football Association (FIFA),enforcement_fifa@pointerbp.nl,商标,WORLD CUP,678511,FUN,S
First Aid Beauty,SC_B_5316,First Aid Beauty Limited,,,,,FUN,A
fischer,SC_B_5181,fischerwerke GmbH & Co. KG,fischer.ipr@bp.corsearch.com,商标,Fischer,1192931,FUN,S
Fisher-Price,SC_B_1566,MATTEL Inc.,,,,,FUN,S
FMC,SC_B_2968,FMC Corporation,,,,,FUN,S
Font Vella,SC_B_2930,COMPAGNIE GERVAIS DANONE,,,,,FUN,S
Ford,SC_B_2640,福特汽车公司 FORD MOTOR COMPANY,ford.ipr@ybrandprotection.com,商标,FORD,8035093,FUN,S
fossil,SC_B_2317,"FOSSIL GROUP,INC.",,,,,LUXURY,S
Franciacorta,SC_B_1574,MIPAAF,,,,,FUN,S
Freedent,SC_B_3193,Wm. Wrigley Jr. Company,,,,,FUN,S
French Times in Paris,SC_B_2297,FRENCH TIMES IN PARIS,,,,,LUXURY,S
Freon,SC_B_1575,"Chemours Company FC, LLC",chemours.enforcement@incoproip.com,商标,FREON,20453080,FUN,S
Fresca,SC_B_2903,The Coca-Cola Company,,,,,FUN,S
Frico,SC_B_3075,FrieslandCampina Nederland B.V.,,,,,FUN,S
Friskies,SC_B_3089,Societe des Produits Nestle S.A.,,,,,FUN,S
Frosted Flakes,SC_B_3229,KELLOGG NORTH AMERICA COMPANY,kelloggs.ipr@bp.corsearch.com,商标,FROSTED FLAKES,6004342,FUN,S
Fruittella,SC_B_3265,Perfetti Van Melle S.p.A.,,,,,FUN,S
Fullips,SC_B_3049,"FULLIPS, LLC",,,,,FUN,S
funny bunny,SC_B_5549,Ravensburger AG,,,,,FUN,S
Fusalp,SC_B_2318,CREATIONS FUSALP,,,,,LUXURY,S
Fusion,SC_B_1580,The Gillette Company,pg_enforce@opsecsecurity.com,商标,FUSION,15866723,FUN,S
FuzeTea,SC_B_2904,DP BEVERAGES,,,,,FUN,S
G/FORE,SC_B_5315,Peter Millar LLC,,,,,LUXURY,A
Galeries Lafayette,SC_B_2319,GALERIES LAFAYETTE,,,,,LUXURY,S
Game Boy Advance,SC_B_167,"NINTENDO CO.,LTD.",,,,,FUN,A
GANT,SC_B_1585,GANT AB,,,,,LUXURY,S
Garda,SC_B_1586,Mipaaf - Consorzio di Tutela dell'Olio Extravergine Garda DOP,icqrf.capodipartimento@politicheagricole.it,商标,Garda PDO,IT/PDO/0017/1516,FUN,S
Gatorade,SC_B_3055,STOKELY-VAN CAMP INC.,,,,,FUN,S
George & Co. Games,SC_B_5216,"George & Company, LLC",,,,,FUN,A
George Nelson,SC_B_4839,Vitra Collections AG,,,,,LUXURY,S
Georgia,SC_B_2905,The Coca-Cola Company,,,,,FUN,S
Getzner,SC_B_3175,奥地利盖茨纳纺织有限公司,tiying.wang@dentons.cn,商标,GETZNER,13597427,FUN,A
ghd,SC_B_2360,JEMELLA GROUP LIMITED,,,,,FUN,S
Gillette,SC_B_1591,THE GILLETTE COMPANY LLC,takedown_procterandgamble@pointerbp.nl,商标,GILLETTE,144138,FUN,S
Gisou,SC_B_5462,NM Beauty Industries B.V.,rubab.mohammad@gisou.com,商标,gisou,018088802,LUXURY,S
Giudizio,SC_B_4400,TRAVAINI MATTIA,,,,,FUN,S
